"model","price","objem","age","tachometer","seo_name","kombi","district","district_id","district_seo_name","entity_id","img_url","index"
"fabia",70000,1.4,13.2347707049966,229000,"nafta",0,"Brno-město",72,"brno-mesto",14643,"http://d19-a.sdn.cz/d_19/c_img_QR_E9/DjNN5o.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",1
"fabia",50000,1.4,20.9856262833676,114100,"benzin",0,"Pardubice",32,"pardubice",1258,"http://d19-a.sdn.cz/d_19/c_img_QN_Er/Ep8N8i.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",2
"fabia",48500,1.4,21.2484599589322,139700,"benzin",1,"Chomutov",20,"chomutov",20,"http://d19-a.sdn.cz/d_19/c_img_gR_q/lEgIzx.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",3
"fabia",279000,1,4.23545516769336,99954,"benzin",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_QM_E0/edtvh.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",4
"fabia",190000,1.4,4.98562628336756,177839,"nafta",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gY_q/HEyGlQ.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",5
"fabia",269000,1,4.57221081451061,69615,"benzin",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_QN_Er/wGOFbe.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",6
"fabia",225000,1,4.90075290896646,81243,"benzin",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gZ_p/2YcHt9.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",7
"fabia",265000,1,3.06913073237509,82776,"benzin",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gT_r/DPKKYY.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",8
"fabia",180000,1.2,6.15195071868583,146649,"benzin",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gZ_p/gMWBjy.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",9
"fabia",26500,1.4,22.1218343600274,250037,"benzin",0,"Liberec",22,"liberec",22,"http://d19-a.sdn.cz/d_19/c_img_QO_Ey/qdmCrh.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",10
"fabia",220000,1.2,7.53456536618754,91526,"benzin",0,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_QO_Ey/r7WCrU.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",11
"fabia",92500,1.6,10.6502395619439,305000,"nafta",0,"Zlín",38,"zlin",38,"http://d19-a.sdn.cz/d_19/c_img_QM_Ey/2r9FIz.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",12
"fabia",72000,1.9,15.8357289527721,272980,"nafta",0,"Litoměřice",23,"litomerice",23,"http://d19-a.sdn.cz/d_19/c_img_QM_E0/BXLBST.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",13
"fabia",80000,1.4,16.082135523614,151618,"benzin",0,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gR_q/2rSIyR.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",14
"fabia",278000,1.2,6.31895961670089,115000,"benzin",0,"Hlavní město Praha",47,"hlavni-mesto-praha",3468,"http://d19-a.sdn.cz/d_19/c_img_gS_q/OI6I9K.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",15
"fabia",179900,1.2,8.74743326488706,124383,"benzin",0,"Semily",34,"semily",34,"http://d19-a.sdn.cz/d_19/c_img_gV_m/BmIF4N.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",16
"fabia",329900,1,3.47433264887064,47546,"benzin",1,"Semily",34,"semily",34,"http://d19-a.sdn.cz/d_19/c_img_QR_E3/jLmCnN.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",17
"fabia",127000,1.4,13.8151950718686,219000,"nafta",1,"Praha-východ",56,"praha-vychod",4190,"http://d19-a.sdn.cz/d_19/c_img_gT_s/P4gG3K.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",18
"fabia",327723,1,2.65297741273101,9927,"benzin",0,"Pardubice",32,"pardubice",32,"http://d19-a.sdn.cz/d_19/c_img_QK_E3/nM7NuB.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",19
"fabia",159900,1.4,8.1533196440794,63278,"benzin",0,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gV_s/vcEIvl.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",20
"fabia",259000,1.4,5.40451745379877,71006,"nafta",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_gY_q/Qm4I5u.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",21
"fabia",399900,1,1.48665297741273,16638,"benzin",1,"Hlavní město Praha",47,"hlavni-mesto-praha",47,"http://d19-a.sdn.cz/d_19/c_img_QO_Ey/9irCm0.jpeg?fl=exf|crr,1.33333,0|res,1024,768,1|wrm,/watermark/sauto.png,10,10|jpg,80,,1",22
